particleCap,steps,rank,function,lineno,hits,time_s,code
50,100,20,main,182,490,0.1529,"            correlationLattice = np.zeros(shape=((2*radiusCircle)+1,(2*radiusCircle)+1))"
50,1000,1,main,190,4412842,16.9755,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
50,1000,2,main,195,4412842,13.6426,"                row = int(coords[n,0])"
50,1000,3,main,196,4412842,13.6122,"                column = int(coords[n,1])"
50,1000,4,main,198,4412842,11.2547,                if check == 0:
50,1000,5,main,197,4412842,10.4608,"                check = correlationLattice[row, column]"
50,1000,6,main,199,4390780,9.8643,                    empty += 1
50,1000,7,main,194,4413332,7.4271,            for n in range(len(coords)):
50,1000,8,main,189,4413332,7.0409,            for n in range(len(coordsToCheck[0])):
50,1000,9,main,144,49,4.7890,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
50,1000,10,particle_collision,58,49,2.3444,    stickyInitialTest = np.nonzero(lattice)
50,1000,11,particle_collision,68,49,2.2746,    latticeCheck = np.nonzero(lattice)
50,1000,12,main,145,49,2.2374,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
50,1000,13,lattice_radius_check,78,49,2.2200,    latticeRadiusInitial = np.nonzero(lattice)
50,1000,14,main,130,126,1.9221,"            path = generate_path(steps, startingPosition)"
50,1000,15,generate_path,47,125874,1.0280,        path[n+1] = particlePosition + movements[direction[n]]
50,1000,16,main,135,93033,0.6334,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
50,1000,17,main,184,45178,0.6148,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
50,1000,18,generate_path,48,125874,0.2683,        particlePosition = path[n+1]
50,1000,19,main,187,490,0.2475,            coordsToCheck = np.where(circleSelection == True)
50,1000,20,main,141,93033,0.2337,                if logicCheck[n] == 1:
100,100,1,main,190,8915742,34.5214,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
100,100,2,main,195,8915742,27.8871,"                row = int(coords[n,0])"
100,100,3,main,196,8915742,27.7803,"                column = int(coords[n,1])"
100,100,4,main,198,8915742,23.1675,                if check == 0:
100,100,5,main,197,8915742,21.6333,"                check = correlationLattice[row, column]"
100,100,6,main,199,8828395,19.8924,                    empty += 1
100,100,7,main,194,8916732,14.9305,            for n in range(len(coords)):
100,100,8,main,189,8916732,14.1470,            for n in range(len(coordsToCheck[0])):
100,100,9,main,144,99,9.3548,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
100,100,10,particle_collision,58,99,4.4080,    stickyInitialTest = np.nonzero(lattice)
100,100,11,main,145,99,4.3872,"                    latticeRadiusMax, radius, killRadius = lattice_radius_check(lattice, length, radius, killRadius)"
100,100,12,particle_collision,68,99,4.3582,    latticeCheck = np.nonzero(lattice)
100,100,13,lattice_radius_check,78,99,4.3543,    latticeRadiusInitial = np.nonzero(lattice)
100,100,14,main,130,825,1.3482,"            path = generate_path(steps, startingPosition)"
100,100,15,main,184,91278,1.2245,"                correlationLattice[row] = lattice[int(referenceParticleRow+radiusCircle-row),int(referenceParticleColumn-radiusCircle):int(referenceParticleColumn+radiusCircle+1)]"
100,100,16,generate_path,47,81675,0.6607,        path[n+1] = particlePosition + movements[direction[n]]
100,100,17,main,135,78079,0.5343,"                    logicCheck[n] = stickyLattice[int(path[n,0]), int(path[n,1])] == 1"
100,100,18,main,187,990,0.4728,            coordsToCheck = np.where(circleSelection == True)
100,100,19,main,188,990,0.3658,"            coords = np.zeros(shape=(len(coordsToCheck[0]),2))"
100,100,20,main,182,990,0.3182,"            correlationLattice = np.zeros(shape=((2*radiusCircle)+1,(2*radiusCircle)+1))"
100,1000,1,main,190,8915742,34.3984,"                coords[n,0], coords[n,1] =  coordsToCheck[0][n], coordsToCheck[1][n]"
100,1000,2,main,195,8915742,27.5010,"                row = int(coords[n,0])"
100,1000,3,main,196,8915742,26.7908,"                column = int(coords[n,1])"
100,1000,4,main,198,8915742,22.3519,                if check == 0:
100,1000,5,main,197,8915742,21.4270,"                check = correlationLattice[row, column]"
100,1000,6,main,199,8829269,19.6907,                    empty += 1
100,1000,7,main,194,8916732,15.1333,            for n in range(len(coords)):
100,1000,8,main,189,8916732,14.0600,            for n in range(len(coordsToCheck[0])):
100,1000,9,main,144,99,9.8523,"                    lattice, stickyLattice = particle_collision(logicCheck, path, lattice, stickyLattice, particleNumber)"
100,1000,10,particle_collision,58,99,4.6472,    stickyInitialTest = np.nonzero(lattice)
100,1000,11,particle_collision,68,99,4.5747,    latticeCheck = np.nonzero(lattice)
